run_id,num_train_samples,y,baseline_beta,baseline_nll_beta
69a18ce4,20,-2.812813,0.00021108067,0.0003889151
69a18ce4,20,-2.792793,0.00022737103,0.0004530651
69a18ce4,20,-2.772773,0.0002321325,0.00047588837
69a18ce4,20,-2.752753,0.00024035099,0.00045862386
69a18ce4,20,-2.732733,0.0002516758,0.0005170343
69a18ce4,20,-2.712713,0.0002593446,0.0005318527
69a18ce4,20,-2.692693,0.00028099556,0.00051289424
69a18ce4,20,-2.672673,0.00029505146,0.00054180546
69a18ce4,20,-2.652653,0.0003062846,0.0005653056
69a18ce4,20,-2.632633,0.0003208476,0.00059591496
69a18ce4,20,-2.612613,0.00033807935,0.0006799944
69a18ce4,20,-2.592593,0.00035381046,0.0006343905
69a18ce4,20,-2.572573,0.0003630301,0.0007216219
69a18ce4,20,-2.552553,0.00038446768,0.00071521854
69a18ce4,20,-2.532533,0.00040241334,0.00076885946
69a18ce4,20,-2.5125127,0.00042702968,0.00075197336
69a18ce4,20,-2.4924927,0.00045259218,0.00079902395
69a18ce4,20,-2.4724727,0.00046758377,0.00084872695
69a18ce4,20,-2.4524527,0.000479651,0.00089893583
69a18ce4,20,-2.4324327,0.00051142013,0.00093892845
69a18ce4,20,-2.4124126,0.0005433396,0.0009976242
69a18ce4,20,-2.3923926,0.00056201307,0.0010078171
69a18ce4,20,-2.3723726,0.0006018915,0.0010516222
69a18ce4,20,-2.3523526,0.0006181814,0.0011339084
69a18ce4,20,-2.3323326,0.0006502775,0.0012063578
69a18ce4,20,-2.3123126,0.00068812154,0.001222548
69a18ce4,20,-2.2922926,0.00071951904,0.0012735337
69a18ce4,20,-2.2722726,0.00073954737,0.0012678502
69a18ce4,20,-2.2522526,0.00079576,0.0012859897
69a18ce4,20,-2.2322326,0.00083714473,0.0012962427
69a18ce4,20,-2.2122126,0.0008711663,0.0012909491
69a18ce4,20,-2.1921926,0.0009124714,0.0015475353
69a18ce4,20,-2.1721725,0.00096063176,0.0015203875
69a18ce4,20,-2.1521525,0.0010015471,0.0016877388
69a18ce4,20,-2.1321325,0.0010688655,0.0017392505
69a18ce4,20,-2.1121125,0.0010992952,0.001817685
69a18ce4,20,-2.0920923,0.0011663887,0.00181589
69a18ce4,20,-2.0720723,0.0012226041,0.0019058422
69a18ce4,20,-2.0520523,0.0012936703,0.0020507886
69a18ce4,20,-2.0320323,0.0013398882,0.001934004
69a18ce4,20,-2.0120122,0.0014491114,0.0021546877
69a18ce4,20,-1.9919922,0.0015054872,0.0022745235
69a18ce4,20,-1.9719722,0.0015749139,0.0023418062
69a18ce4,20,-1.9519522,0.0016647975,0.0025629725
69a18ce4,20,-1.9319322,0.0017474655,0.0024287035
69a18ce4,20,-1.9119122,0.0018540747,0.002730303
69a18ce4,20,-1.8918922,0.0019396526,0.0028171681
69a18ce4,20,-1.8718722,0.0020255533,0.0031392167
69a18ce4,20,-1.8518522,0.002133392,0.003152471
